Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
1,3,10/13/2010,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,10/20/2010
49,293,10/1/2012,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact Cube"""" Office Refrigerators""""",Jumbo Drum,0.58,10/2/2012
50,293,10/1/2012,High,27,244.57,0.01,Regular Air,46.71,8.69,2.99,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,10/3/2012
80,483,7/10/2011,High,30,4965.7595,0.08,Regular Air,1198.97,195.99,3.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,7/12/2011
85,515,8/28/2010,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,8/30/2010
86,515,8/28/2010,Not Specified,21,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos Soltero,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,8/30/2010
97,613,6/17/2011,High,12,93.54,0.03,Regular Air,-54.04,7.3,7.72,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,6/17/2011
107,678,2/26/2010,Low,44,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy Badders,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,2/26/2010
127,807,11/23/2010,Medium,45,196.85,0.01,Regular Air,-166.85,4.28,6.18,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.4,11/24/2010
128,807,11/23/2010,Medium,32,124.56,0.04,Regular Air,-14.33,3.95,2,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,11/24/2010
134,868,6/8/2012,Not Specified,32,716.84,0,Regular Air,134.72,21.78,5.94,Carlos Daly,Nunavut,Nunavut,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,6/9/2012
135,868,6/8/2012,Not Specified,31,1474.33,0.04,Regular Air,114.46,47.98,3.61,Carlos Daly,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,6/10/2012
149,933,8/4/2012,Not Specified,15,80.61,0.02,Regular Air,-4.72,5.28,2.99,Claudia Miner,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1 Hanging DublLock® Ring Binders""""",Small Box,0.37,8/4/2012
160,995,5/30/2011,Medium,46,1815.49,0.03,Regular Air,782.91,39.89,3.04,Neola Schneider,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,5/31/2011
161,998,11/25/2009,Not Specified,16,248.26,0.07,Regular Air,93.8,15.74,1.39,Allen Rosenblatt,Nunavut,Nunavut,Small Business,Office Supplies,Envelopes,"#10-4 1/8 x 9 1/2"""" Premium Diagonal Seam Envelopes""""",Small Box,0.4,11/26/2009
175,1154,2/14/2012,Critical,44,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,2/16/2012
176,1154,2/14/2012,Critical,11,663.784,0.25,Regular Air,-481.04,71.37,69,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,2/16/2012
203,1344,4/15/2012,Low,15,834.904,0.06,Regular Air,-11.68,65.99,5.26,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,g520,Small Box,0.59,4/22/2012
204,1344,4/15/2012,Low,18,2480.9205,0.01,Regular Air,313.58,155.99,8.99,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,LX 788,Small Box,0.58,4/19/2012
213,1412,3/12/2010,Not Specified,13,59.03,0.1,Express Air,26.92,3.69,0.5,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.38,3/14/2010
214,1412,3/12/2010,Not Specified,21,97.48,0.05,Regular Air,-5.77,4.71,0.7,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,3/14/2010
229,1539,3/9/2011,Low,33,511.83,0.1,Regular Air,-172.88,15.99,13.18,Carl Ludwig,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2 x 11""""""""",Small Box,0.37,3/11/2011
231,1540,8/4/2012,High,30,80.9,0.09,Regular Air,5.76,2.88,0.7,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.56,8/6/2012
249,1702,5/6/2011,High,23,67.24,0.06,Regular Air,4.9,2.84,0.93,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters,Wrap Bag,0.54,5/7/2011
250,1761,12/23/2010,High,25,12028.23,0.01,Delivery Truck,-547.61,449.99,49,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38,12/25/2010
256,1792,11/8/2010,Low,28,370.48,0.04,Regular Air,-5.45,13.48,4.51,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,11/13/2010
330,2275,10/21/2012,Not Specified,49,278,0.08,Regular Air,41.67,6.08,1.17,Grant Carroll,Nunavut,Nunavut,Small Business,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag,0.56,10/22/2012
332,2277,1/1/2011,Not Specified,21,845.32,0.06,Regular Air,33.67,40.99,19.99,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36,1/3/2011
362,2532,10/10/2011,High,39,282.07,0.03,Regular Air,140.01,7.31,0.49,Alan Barnes,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,10/11/2011
363,2532,10/10/2011,High,24,426.037,0.01,Regular Air,-78.96,20.99,2.5,Alan Barnes,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,10/11/2011
381,2631,9/23/2010,Low,27,1078.49,0.08,Regular Air,252.66,40.96,1.99,Jack Garza,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,9/25/2010
406,2757,7/19/2011,Critical,39,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,Julia West,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57,7/19/2011
413,2791,10/9/2009,High,47,191.67,0,Regular Air,-236.27,3.89,7.01,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,10/9/2009
414,2791,10/9/2009,High,49,5586.33,0.09,Delivery Truck,80.44,120.98,30,Eugene Barchas,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Hon Every-Day® Chair Series Swivel Task Chairs,Jumbo Drum,0.64,10/11/2009
440,2976,12/9/2010,Not Specified,30,14223.82,0.09,Delivery Truck,3424.22,500.98,26,Edward Hooks,Nunavut,Nunavut,Consumer,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,Jumbo Drum,0.6,12/11/2010
471,3232,10/8/2012,Critical,5,42.66,0.06,Regular Air,-11.83,7.84,4.71,Brad Eason,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Small Box,0.35,10/10/2012
513,3524,5/2/2012,High,21,427.32,0,Regular Air,52.35,18.97,9.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,5/3/2012
577,3908,3/8/2010,Medium,8,820.284,0,Regular Air,-180.2,115.99,2.5,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,6160,Small Box,0.57,3/8/2010
606,4132,5/28/2011,Not Specified,5,14.76,0.01,Regular Air,1.32,2.88,0.5,Aaron Bergman,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Avery 49,Small Box,0.36,5/30/2011
656,4612,9/19/2010,Medium,9,89.55,0.06,Regular Air,-375.64,4.48,49,Jim Radford,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box,0.6,9/21/2010
669,4676,8/31/2011,High,11,1210.0515,0.04,Regular Air,-104.25,125.99,7.69,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Timeport L7089,Small Box,0.58,9/1/2011
670,4676,8/31/2011,High,50,187.83,0.03,Regular Air,85.96,3.75,0.5,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Labels,Avery 510,Small Box,0.37,9/2/2011
671,4676,8/31/2011,High,3,49.59,0.07,Express Air,-8.38,12.28,6.47,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,0.38,9/2/2011
672,4676,8/31/2011,High,30,4253.009,0.01,Regular Air,1115.69,155.99,8.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,LX 788,Small Box,0.58,9/1/2011
734,5284,7/8/2011,Not Specified,7,59.38,0.1,Regular Air,-3.05,8.69,2.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,7/10/2011
735,5316,1/30/2009,Critical,42,1285.37,0.1,Regular Air,514.07,31.78,1.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42,2/1/2009
755,5409,1/8/2012,Low,11,48.91,0.01,Regular Air,-7.04,3.98,2.97,Don Jones,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,0.35,1/13/2012
782,5569,4/29/2010,Not Specified,12,118.97,0.09,Regular Air,-0.06,9.65,6.22,Frank Price,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55,5/1/2010
786,5607,12/31/2011,Not Specified,8,61.8715,0,Regular Air,-50.33,7.99,5.03,Michelle Lonsdale,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,1/3/2012
817,5894,8/12/2009,High,7,384.33,0.1,Regular Air,87.68,58.1,1.49,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,0.38,8/13/2009
818,5894,8/12/2009,High,3,239.03,0.01,Regular Air,-68.22,80.48,4.5,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,0.55,8/15/2009
821,5925,11/12/2011,Low,44,3922.42,0.08,Regular Air,-354.9,92.23,39.61,Joy Bell,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.67,11/19/2011
822,5925,11/12/2011,Low,25,1733.3625,0.07,Regular Air,-267.01,85.99,0.99,Joy Bell,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,11/19/2011
839,6016,1/20/2012,High,19,208.28,0.07,Regular Air,3.63,11.48,5.43,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Personal Creations™ Ink Jet Cards and Labels,Small Box,0.36,1/20/2012
853,6116,3/20/2009,Medium,6,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,3/22/2009
863,6182,7/21/2012,Low,40,255.48,0.04,Regular Air,-116.79,6.48,6.65,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,0.36,7/28/2012
864,6182,7/21/2012,Low,18,130.32,0.04,Express Air,-67.28,6.48,7.86,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.37,7/25/2012
911,6535,6/12/2012,Critical,11,312.36,0.07,Express Air,-19.33,28.15,8.99,Adrian Hane,Nunavut,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,6/15/2012
950,6884,1/15/2009,Low,41,217,0.01,Regular Air,-61.21,4.98,4.75,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,1/20/2009
951,6884,1/15/2009,Low,47,296.13,0.04,Regular Air,119.09,6.35,1.02,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2 x 3 3/16""""""""",Wrap Bag,0.39,1/20/2009
956,6916,6/4/2010,Low,40,436.17,0.08,Express Air,-141.27,10.9,7.46,Andrew Gjertsen,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Crate-A-Files™,Small Box,0.59,6/8/2010
963,6980,2/18/2010,Not Specified,18,136.29,0.05,Regular Air,-77.28,7.3,7.72,Ralph Knight,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2/19/2010
964,6982,11/16/2011,Not Specified,32,1311.25,0,Express Air,407.44,39.48,1.99,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,11/18/2011
